pos_rank,file,time
1,1511.txt,0 days 00:00:00.613863000
3,1512.txt,0 days 00:00:00.539727000
1,2053.txt,0 days 00:00:00.223295000
1,1836.txt,0 days 00:00:00.590033000
1,1537.txt,0 days 00:00:00.342268000
1,1869.txt,0 days 00:00:00.362513000
23,1806.txt,0 days 00:00:00.295916000
40,1558.txt,0 days 00:00:00.605420000
1,1663.txt,0 days 00:00:00.520272000
15,1527.txt,0 days 00:00:00.280236000
108,1526.txt,0 days 00:00:00.424219000
311,1769.txt,0 days 00:00:00.527511000
19,2139.txt,0 days 00:00:00.452478000
1,2091.txt,0 days 00:00:00.466572000
4,2070.txt,0 days 00:00:00.247558000
1,2056.txt,0 days 00:00:00.399354000
141,1559.txt,0 days 00:00:00.369851000
1,2067.txt,0 days 00:00:00.395160000
1,1879.txt,0 days 00:00:00.602856000
1,1845.txt,0 days 00:00:00.156420000
2,1939.txt,0 days 00:00:00.645665000
3,2037.txt,0 days 00:00:00.415340000
319,1707.txt,0 days 00:00:00.411087000
1,1754.txt,0 days 00:00:00.404264000
1,1786.txt,0 days 00:00:00.427426000
2,1538.txt,0 days 00:00:00.449955000
1,1938.txt,0 days 00:00:00.779843000
1,1718.txt,0 days 00:00:00.673142000
2,1666.txt,0 days 00:00:00.498588000
1,1751.txt,0 days 00:00:00.464168000
1,1698.txt,0 days 00:00:00.393844000
141,2225.txt,0 days 00:00:00.436390000
1,1850.txt,0 days 00:00:00.221473000
1,1585.txt,0 days 00:00:00.243750000
1,1702.txt,0 days 00:00:00.464870000
1,1842.txt,0 days 00:00:00.273079000
2,2170.txt,0 days 00:00:00.133425000
5,1602.txt,0 days 00:00:00.452007000
1,1661.txt,0 days 00:00:00.503797000
1,2100.txt,0 days 00:00:00.380791000
1,1923.txt,0 days 00:00:00.547657000
1,1657.txt,0 days 00:00:00.377257000
2,1552.txt,0 days 00:00:00.574903000
1,1838.txt,0 days 00:00:00.587277000
1,1615.txt,0 days 00:00:00.420989000
1,1597.txt,0 days 00:00:00.295981000
1,1598.txt,0 days 00:00:00.330573000
209,1618.txt,0 days 00:00:00.523788000
1,2151.txt,0 days 00:00:00.537319000
1,2191.txt,0 days 00:00:00.535713000
1,2097.txt,0 days 00:00:00.523527000
1,2135.txt,0 days 00:00:00.269580000
9,1967.txt,0 days 00:00:00.479747000
1,2246.txt,0 days 00:00:00.464499000
1,2158.txt,0 days 00:00:00.619309000
1,1604.txt,0 days 00:00:00.417931000
3,1613.txt,0 days 00:00:00.489791000
29,1716.txt,0 days 00:00:00.622271000
1,2209.txt,0 days 00:00:00.408653000
1,2038.txt,0 days 00:00:00.542194000
-1,2165.txt,0 days 00:00:00.178823000
1,1622.txt,0 days 00:00:00.389870000
1,1594.txt,0 days 00:00:00.426736000
1,1989.txt,0 days 00:00:00.444785000
1,1633.txt,0 days 00:00:00.406255000
-1,1502.txt,0 days 00:00:00.227350000
12,1571.txt,0 days 00:00:00.295835000
1,1945.txt,0 days 00:00:00.312461000
23,1792.txt,0 days 00:00:00.351851000
2,2169.txt,0 days 00:00:00.085281000
-1,1764.txt,0 days 00:00:00.596824000
1,2190.txt,0 days 00:00:00.309041000
40,1520.txt,0 days 00:00:00.567989000
129,2200.txt,0 days 00:00:00.118154000
1,1942.txt,0 days 00:00:00.300461000
1,2099.txt,0 days 00:00:00.577618000
99,1765.txt,0 days 00:00:00.417355000
1,1660.txt,0 days 00:00:00.291504000
1,1605.txt,0 days 00:00:00.446184000
1,2040.txt,0 days 00:00:00.433266000
33,2079.txt,0 days 00:00:00.666320000
93,1556.txt,0 days 00:00:00.544091000
167,2245.txt,0 days 00:00:00.418261000
1,1880.txt,0 days 00:00:00.564645000
1,2120.txt,0 days 00:00:00.311233000
1,1581.txt,0 days 00:00:00.362192000
1,1921.txt,0 days 00:00:00.493033000
6,2031.txt,0 days 00:00:00.551568000
2,1630.txt,0 days 00:00:00.229210000
1,2114.txt,0 days 00:00:00.403521000
1,1981.txt,0 days 00:00:00.495550000
175,2090.txt,0 days 00:00:00.174116000
1,2054.txt,0 days 00:00:00.153859000
1,1534.txt,0 days 00:00:00.371403000
1,1882.txt,0 days 00:00:00.584173000
297,2134.txt,0 days 00:00:00.525136000
2,1665.txt,0 days 00:00:00.444029000
1,2184.txt,0 days 00:00:00.399569000
1,1878.txt,0 days 00:00:00.556946000
1,1586.txt,0 days 00:00:00.307367000
1,1757.txt,0 days 00:00:00.394500000
1,1617.txt,0 days 00:00:00.463405000
25,2223.txt,0 days 00:00:00.604128000
1,1875.txt,0 days 00:00:00.476424000
1,2098.txt,0 days 00:00:00.522363000
1,2113.txt,0 days 00:00:00.432621000
1,1753.txt,0 days 00:00:00.426117000
1,1884.txt,0 days 00:00:00.399567000
3,1510.txt,0 days 00:00:00.178896000
-1,1521.txt,0 days 00:00:00.502663000
1,1984.txt,0 days 00:00:00.431971000
1,1507.txt,0 days 00:00:00.220722000
1,2188.txt,0 days 00:00:00.466108000
1,2227.txt,0 days 00:00:00.310328000
1,1881.txt,0 days 00:00:00.460088000
1,1788.txt,0 days 00:00:00.313548000
24,1761.txt,0 days 00:00:00.565125000
15,2189.txt,0 days 00:00:00.431470000
2,1572.txt,0 days 00:00:00.363338000
4,1519.txt,0 days 00:00:00.676154000
64,1705.txt,0 days 00:00:00.500705000
1,1973.txt,0 days 00:00:00.451595000
1,1947.txt,0 days 00:00:00.393435000
1,2027.txt,0 days 00:00:00.482323000
1,2039.txt,0 days 00:00:00.474456000
1,2166.txt,0 days 00:00:00.236680000
14,1560.txt,0 days 00:00:00.347446000
168,1573.txt,0 days 00:00:00.325740000
26,2046.txt,0 days 00:00:00.342739000
13,2064.txt,0 days 00:00:00.335072000
1,1501.txt,0 days 00:00:00.367394000
1,2153.txt,0 days 00:00:00.641060000
1,2029.txt,0 days 00:00:00.565761000
105,1805.txt,0 days 00:00:00.113196000
1,1928.txt,0 days 00:00:00.535791000
1,2094.txt,0 days 00:00:00.435745000
1,2137.txt,0 days 00:00:00.655054000
1,1629.txt,0 days 00:00:00.287030000
1,1599.txt,0 days 00:00:00.373336000
1,2033.txt,0 days 00:00:00.438093000
1,1787.txt,0 days 00:00:00.284559000
1,1975.txt,0 days 00:00:00.354645000
1,2206.txt,0 days 00:00:00.416089000
1,1715.txt,0 days 00:00:00.410412000
28,1719.txt,0 days 00:00:00.529106000
1,1935.txt,0 days 00:00:00.390927000
1,2081.txt,0 days 00:00:00.428313000
1,1636.txt,0 days 00:00:00.393213000
169,1620.txt,0 days 00:00:00.279184000
1,1656.txt,0 days 00:00:00.487294000
78,1706.txt,0 days 00:00:00.513571000
1,1664.txt,0 days 00:00:00.505828000
7,1612.txt,0 days 00:00:00.454974000
-1,1964.txt,0 days 00:00:00.551859000
79,1712.txt,0 days 00:00:00.693909000
1,2201.txt,0 days 00:00:00.428528000
1,2205.txt,0 days 00:00:00.460899000
129,1804.txt,0 days 00:00:00.128075000
122,2229.txt,0 days 00:00:00.463020000
1,2204.txt,0 days 00:00:00.272085000
1,1943.txt,0 days 00:00:00.417752000
1,2193.txt,0 days 00:00:00.380938000
1,1949.txt,0 days 00:00:00.399158000
1,1936.txt,0 days 00:00:00.465271000
2,1974.txt,0 days 00:00:00.598313000
1,1596.txt,0 days 00:00:00.517315000
1,1889.txt,0 days 00:00:00.503467000
1,1756.txt,0 days 00:00:00.478523000
6,2119.txt,0 days 00:00:00.422117000
1,1588.txt,0 days 00:00:00.300504000
1,1557.txt,0 days 00:00:00.523924000
1,2112.txt,0 days 00:00:00.427157000
1,1522.txt,0 days 00:00:00.430043000
1,1574.txt,0 days 00:00:00.350911000
1,2063.txt,0 days 00:00:00.303309000
1,1983.txt,0 days 00:00:00.569719000
54,1970.txt,0 days 00:00:00.342802000
1,1798.txt,0 days 00:00:00.342407000
1,2026.txt,0 days 00:00:00.505200000
